,ID_Improved,Student,Test Run,Heuristic
0,42.142857142857146,85.0,1,blank space
1,46.42857142857143,73.57142857142857,2,blank space
2,37.857142857142854,77.85714285714286,3,blank space
3,40.714285714285715,77.14285714285714,4,blank space
4,44.28571428571429,77.85714285714286,5,blank space
5,41.42857142857143,77.85714285714286,6,blank space
6,45.714285714285715,75.71428571428571,7,blank space
7,45.714285714285715,75.0,8,blank space
8,35.714285714285715,80.0,9,blank space
9,35.714285714285715,82.85714285714286,10,blank space
0,43.57142857142857,75.71428571428571,1,non_overlapping
1,40.714285714285715,70.0,2,non_overlapping
2,48.57142857142857,70.71428571428571,3,non_overlapping
3,45.0,72.85714285714286,4,non_overlapping
4,38.57142857142857,75.0,5,non_overlapping
5,40.714285714285715,71.42857142857143,6,non_overlapping
6,41.42857142857143,75.0,7,non_overlapping
7,42.142857142857146,72.85714285714286,8,non_overlapping
8,38.57142857142857,70.0,9,non_overlapping
9,45.0,73.57142857142857,10,non_overlapping
0,39.285714285714285,38.57142857142857,1,overlapping
1,42.857142857142854,44.28571428571429,2,overlapping
2,44.28571428571429,44.28571428571429,3,overlapping
3,39.285714285714285,36.42857142857143,4,overlapping
4,42.142857142857146,34.285714285714285,5,overlapping
5,37.857142857142854,41.42857142857143,6,overlapping
6,45.714285714285715,42.142857142857146,7,overlapping
7,38.57142857142857,44.28571428571429,8,overlapping
8,45.0,46.42857142857143,9,overlapping
9,42.857142857142854,40.0,10,overlapping
